drug	status	target	atc	cas
atp	non			
ranitidine	non			
potassium cation	non			
zinc	non			
acetylcholine	non			
ranitidine	approved	HRH2	A02BA07	66357-35-5
tacrolimus	approved	FKBP1A	D11AH01	104987-11-3
benzphetamine	approved	SLC18A2,ADRA2A,ADRA1A		156-08-1
atp	non			
alprenolol	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
alprenolol	non	ADRB1,ADRB2,HTR1A	C07AA01	13655-52-2
ritodrine	approved	ADRB2	G02CA01	26652-09-5
benzonatate	approved		R05DB01	104-31-4
dorzolamide	approved	CA2,CA4,CA1	G01AE10	120279-96-1
glutamic acid	non			
glutathione	non			
suprofen	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
suprofen	approved	PTGS1,PTGS2	M01AE07	40828-46-4
terbutaline	approved	ADRB2	R03CC53	23031-25-6
conivaptan	approved	AVPR1A,AVPR2	C03XA02	210101-16-9
loteprednol etabonate	approved	NR3C1		82034-46-6
guaifenesin	approved		R05CA03	93-14-1
flupentixol	approved	DRD2,HTR2A,DRD1	N05AF01	2709-56-0
eprosartan	non			
zinc	non			
eprosartan	approved	AGTR1	C09DA02	133040-01-4
sirolimus	approved	MTOR,FKBP1A,FGF2	S01XA23	53123-88-9
chlorhexidine	approved		R02AA05	55-56-1
adenosine phosphate	non			
atp	non			
emtricitabine	non			
pyrophosphoric acid	non			
emtricitabine	approved		J05AR19	143491-57-0
cysteine	non			
chlorothiazide	non			
potassium cation	non			
urea	non			
chlorothiazide	approved	SLC12A3,CA1,CA2	C03AB04	58-94-6
quinapril	non			
zinc	non			
quinapril	non			
zinc	non			
quinapril	approved	ACE	C09AA06	85441-61-8
clomifene	approved	ESR1	G03GB02	911-45-5
isosorbide dinitrate	approved	NPR1	C01DA08	87-33-2
cholecalciferol	non			
atp	non			
risedronic acid	non			
magnesium cation	non			
iron	non			
dimethylallyl diphosphate	non			
formic acid	non			
geranyl diphosphate	non			
mesoheme	non			
flavin adenine dinucleotide	non			
palmitic acid	non			
pyrophosphoric acid	non			
cholesterol	non			
isopentenyl pyrophosphate	non			
farnesyl diphosphate	non			
risedronic acid	approved	FDPS	M05BB07	105462-24-6
pemirolast	approved			69372-19-6
omapatrilat	non	MME		167305-00-2
cysteine	non			
bumetanide	non			
potassium cation	non			
urea	non			
bumetanide	approved	SLC12A1,SLC12A2,SLC12A4,SLC12A5	G01AE10	28395-03-1
mechlorethamine	approved		L01AA05	51-75-2
granisetron	approved	HTR3A	A04AA02	109889-09-0
dienestrol	approved	ESR1	G03CB01	13029-44-2
sulfapyridine	approved		G01AE10	144-83-2
atp	non			
norepinephrine	non			
oxybuprocaine	non			
dopamine	non			
potassium cation	non			
calcium	non			
oxybuprocaine	approved	SCN10A	S01HA02	99-43-4
iron dextran	approved	HBB,HBA1,FTH1,FTL		9004-66-4
testolactone	approved	CYP19A1		968-93-4
benzylpenicilloyl polylysine	approved	FCER1G,FCER1A	J01CR50	31855-75-1
rimexolone	approved	NR3C1	H02AB12	49697-38-3
triazolam	approved	GABRA1,GABRA1	N05CD05	28911-01-5
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
aspartic acid	non			
adenosine phosphate	non			
tyrosine	non			
glutamic acid	non			
nadh	non			
atp	non			
sapropterin	non			
norepinephrine	non			
epinephrine	non			
disulfiram	non			
ethanol	non			
dopamine	non			
levodopa	non			
calcium	non			
magnesium cation	non			
iron	non			
zinc	non			
2-(3,4-dihydroxyphenyl)acetic acid	non			
acetoacetic acid	non			
methylamine	non			
1,2-dihydroxybenzene	non			
mesoheme	non			
flavin adenine dinucleotide	non			
acetic acid	non			
pyrroloquinoline quinone	non			
pyrophosphoric acid	non			
maleic acid	non			
4-hydroxyphenylpyruvic acid	non			
homogentisic acid	non			
adenosine phosphate	non			
nadh	non			
atp	non			
ethanol	non			
zinc	non			
mesoheme	non			
acetic acid	non			
pyrophosphoric acid	non			
ethanol	approved	GABRA1,GRIN3A,GLRA1,GLRA2	V03AB16	64-17-5
atp	non			
norepinephrine	non			
remifentanil	non			
dopamine	non			
potassium cation	non			
calcium	non			
remifentanil	approved	OPRM1	N01AH06	132875-61-7
adenosine phosphate	non			
atp	non			
didanosine	non			
2',3'-dideoxyadenosine triphosphate	non			
pyrophosphoric acid	non			
didanosine	approved		J05AF02	69655-05-6
bitolterol	non	ADRB2	R03AC17	30392-40-6
methdilazine	non			
calcium	non			
methdilazine	approved	HRH1	R06AD04	1982-37-2
cysteine	non			
etacrynic acid	non			
potassium cation	non			
urea	non			
etacrynic acid	approved	ATP1A1,SLC12A1	C03CC01	58-54-8
ondansetron	approved	HTR3A	A04AA01	99614-02-5
bimatoprost	approved	PTGFR,PTGER1,PTGER3	S01EE03	155206-00-1
tiagabine	approved	SLC6A1	N03AG06	115103-54-3
atp	non			
norepinephrine	non			
cocaine	non			
dopamine	non			
potassium cation	non			
calcium	non			
cocaine	approved	SLC6A3,SLC6A2,SCN1A,SLC6A4	S01HA01	50-36-2
atp	non			
quinidine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
quinidine	approved	SCN5A	C01BA01	56-54-2
zonisamide	approved	SCN1A,SCN2A,SCN3A,SCN4A,SCN5A,SCN9A,SCN11A,SCN1B,SCN2B,SCN3B,SCN4B,CACNA1G,CACNA1H,CACNA1I	N03AX15	68291-97-4
paricalcitol	approved	VDR	H05BX02	131918-61-1
tinidazole	approved		J01RA11	19387-91-8
atp	non			
repaglinide	non			
potassium cation	non			
calcium	non			
repaglinide	approved	ABCC8	A10BD14	135062-02-1
atp	non			
norepinephrine	non			
anileridine	non			
dopamine	non			
potassium cation	non			
calcium	non			
anileridine	approved	OPRM1	N01AH05	144-14-9
phenformin	approved	PRKAA1	A10BA01	114-86-3
amantadine	approved	GRIN3A,DRD2	N04BB01	768-94-5
metronidazole	approved		A02BD11	443-48-1
glutamic acid	non			
glutathione	non			
piroxicam	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
rofecoxib	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
diclofenac	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
sulindac	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
nabumetone	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
valdecoxib	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
antipyrine	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
flurbiprofen	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
nepafenac	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
acetylsalicylic acid	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
ketorolac	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
bromfenac	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
meloxicam	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
mefenamic acid	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
oxaprozin	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
naproxen	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
carprofen	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
etoricoxib	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
lumiracoxib	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
phenylbutazone	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
salsalate	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
acetaminophen	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
etodolac	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
ketoprofen	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
dinoprostone	non			
ibuprofen	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
uridine-5'-diphosphate	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
celecoxib	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
uridine-5'-diphosphate	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
suprofen	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
glutamic acid	non			
glutathione	non			
indomethacin	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
dinoprostone	approved	PTGER2,PTGER1,PTGER3,PTGER4	G02AD02	363-24-6
almotriptan	approved		N02CC05	154323-57-6
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
spectinomycin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
spectinomycin	approved		J01XX04	1695-77-8
ketotifen	non			
calcium	non			
ketotifen	approved	HRH1	S01GX08	34580-13-7
atp	non			
norepinephrine	non			
buprenorphine	non			
dopamine	non			
potassium cation	non			
calcium	non			
buprenorphine	approved	OPRM1,OPRK1	N07BC01	52485-79-7
levosimendan	approved	TNNC1,KCNJ11,KCNJ8	C01CX08	141505-33-1
ceforanide	approved		J01DC11	60925-61-3
cyclobenzaprine	approved	HTR2A	M03BX08	303-53-7
phenoxybenzamine	approved	ADRA1A,ADRA2A	C04AX02	59-96-1
etretinate	non	RARA,RXRA,RARB,RXRG,RXRB,RARG	D05BB01	54350-48-0
atp	non			
famotidine	non			
potassium cation	non			
zinc	non			
acetylcholine	non			
famotidine	approved	HRH2	A02BA03	76824-35-6
azacitidine	approved	DNMT1	L01BC07	320-67-2
misoprostol	approved	PTGER3,PTGER2,PTGER1	G02AD06	59122-46-2
colesevelam	approved		C10AC04	182815-43-6
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
metacycline	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
metacycline	approved		J01AA05	914-00-1
tipranavir	approved		J05AE09	174484-41-4
mesoridazine	approved	HTR2A,DRD2	N05AC03	5588-33-0
maprotiline	approved	SLC6A2	N06AA21	10262-69-8
oxymetazoline	approved	ADRA1A,ADRA2A	S01GA04	1491-59-4
glutamic acid	non			
glutathione	non			
dinoprostone	non			
salicylic acid	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
salicylic acid	approved	PTGS1,PTGS2	D01AE12	69-72-7
diethylpropion	approved	SLC6A2,SLC6A3	A08AA03	90-84-6
salmeterol	approved	ADRB2	R03AK06	89365-50-4
meclofenamic acid	approved	PTGS1,PTGS2,ALOX5	M01AG04	644-62-2
methantheline	approved	HRH2	A03AB07	5818-17-7
hexafluronium	approved	BCHE	M03AC05	4844-10-4
cycrimine	approved	CHRM1		77-39-4
adenosine phosphate	non			
atp	non			
zalcitabine	non			
pyrophosphoric acid	non			
zalcitabine	approved		J05AF03	7481-89-2
demecarium	approved	ACHE	S01EB04	16505-84-3
glutamic acid	non			
glutathione	non			
dinoprostone	non			
acetylsalicylic acid	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
acetylsalicylic acid	approved	PTGS1,PTGS2	B01AC06	50-78-2
phenprocoumon	non			
phylloquinone	non			
calcium	non			
phenprocoumon	approved	VKORC1	B01AA04	435-97-2
fulvestrant	approved	ESR1	L02BA03	129453-61-8
mezlocillin	approved		J01CR50	51481-65-3
nadh	non			
felbamate	non			
zinc	non			
mesoheme	non			
felbamate	approved	GRIN2B,GRIN2A	N03AX10	25451-15-4
fexofenadine	non			
calcium	non			
fexofenadine	approved	HRH1	R06AX26	83799-24-0
isoniazid	approved		J04AM04	54-85-3
naratriptan	approved	HTR1D,HTR1B,HTR1F,HTR1A	N02CC02	121679-13-8
rizatriptan	approved	HTR1D,HTR1B,HTR1F	N02CC04	144034-80-0
dirithromycin	non		J01FA13	62013-04-1
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
netilmicin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
netilmicin	approved		S01AA23	56391-56-1
atp	non			
norepinephrine	non			
hydrocodone	non			
dopamine	non			
potassium cation	non			
calcium	non			
hydrocodone	approved	OPRM1,OPRD1	R05DA03	125-29-1
norgestimate	approved	PGR,ESR1	G03AA11	35189-28-7
carboplatin	approved		L01XA02	41575-94-4
methylprednisolone	approved	NR3C1	D10AA02	83-43-2
atp	non			
pindolol	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
pindolol	approved	ADRB1,ADRB2	C07CA03	13523-86-9
atp	non			
norepinephrine	non			
mepivacaine	non			
dopamine	non			
potassium cation	non			
calcium	non			
mepivacaine	approved	SCN10A	N01BB53	96-88-8
zaleplon	approved	GABRA1	N05CF03	151319-34-5
glutamic acid	non			
glutathione	non			
dinoprostone	non			
bromfenac	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
bromfenac	approved	PTGS2	S01BC11	91714-94-2
apraclonidine	approved	ADRA2A,ADRA1A	S01EA03	66711-21-5
ethiodized oil	approved			8008-53-5
telmisartan	non			
zinc	non			
telmisartan	approved	AGTR1,PPARG	C09DB04	144701-48-4
desloratadine	non			
calcium	non			
desloratadine	approved	HRH1	R06AX27	100643-71-8
methyldopa	approved	ADRA2A		555-30-6
alosetron	approved	HTR3A	A03AE01	122852-42-0
dactinomycin	approved		L01DA01	50-76-0
selenium sulfide	approved		D01AE13	7488-56-4
azelastine	non			
calcium	non			
azelastine	approved	HRH1	R06AX19	58581-89-8
ezetimibe	approved	NPC1L1,SOAT1	C10BA02	163222-33-1
edetic acid	approved			60-00-4
dipyridamole	non			
zinc	non			
dipyridamole	approved	PDE10A,ADA,PDE5A,PDE4A	B01AC07	58-32-2
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
telithromycin	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
telithromycin	approved		J01FA15	191114-48-4
ethinylestradiol	approved	ESR1	G03AA15	57-63-6
lomefloxacin	approved		S01AE04	98079-51-7
cyclopentolate	approved	CHRM1	S01FA54	512-15-2
ramelteon	approved	MTNR1A,MTNR1B	N05CH02	196597-26-9
physostigmine	approved	ACHE	S01EB05	57-47-6
isotretinoin	approved		D10AD04	4759-48-2
formoterol	approved	ADRB2	R03AL09	73573-87-2
nandrolone phenpropionate	approved	AR		62-90-8
dimenhydrinate	approved	HRH1		523-87-5
glycopyrronium	approved	CHRM1	R03AL09	740028-90-4
cytarabine	approved	POLB	L01BC01	147-94-4
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
tyrosine	non			
norepinephrine	non			
epinephrine	non			
dopamine	non			
levodopa	non			
iron	non			
pyrroloquinoline quinone	non			
atp	non			
norepinephrine	non			
dopamine	non			
benzocaine	non			
potassium cation	non			
calcium	non			
atp	non			
bupivacaine	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
nadh	non			
atp	non			
lidocaine	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
mesoheme	non			
formaldehyde	non			
atp	non			
norepinephrine	non			
proparacaine	non			
dopamine	non			
potassium cation	non			
calcium	non			
nadh	non			
atp	non			
morphine	non			
codeine	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
mesoheme	non			
uridine-5'-diphosphate	non			
formaldehyde	non			
atp	non			
hydromorphone	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
atp	non			
norepinephrine	non			
fentanyl	non			
dopamine	non			
potassium cation	non			
calcium	non			
atp	non			
norepinephrine	non			
sufentanil	non			
dopamine	non			
potassium cation	non			
calcium	non			
atp	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
methadyl acetate	non			
atp	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
dimethylthiambutene	non			
atp	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
dihydromorphine	non			
atp	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
ketobemidone	non			
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
aspartic acid	non			
tyrosine	non			
glutamic acid	non			
nadh	non			
sapropterin	non			
norepinephrine	non			
epinephrine	non			
dopamine	non			
levodopa	non			
calcium	non			
magnesium cation	non			
iron	non			
zinc	non			
2-(3,4-dihydroxyphenyl)acetic acid	non			
acetoacetic acid	non			
methylamine	non			
1,2-dihydroxybenzene	non			
flavin adenine dinucleotide	non			
pyrroloquinoline quinone	non			
maleic acid	non			
4-hydroxyphenylpyruvic acid	non			
homogentisic acid	non			
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
aspartic acid	non			
tyrosine	non			
glutamic acid	non			
nadh	non			
sapropterin	non			
norepinephrine	non			
epinephrine	non			
dopamine	non			
levodopa	non			
calcium	non			
magnesium cation	non			
iron	non			
zinc	non			
2-(3,4-dihydroxyphenyl)acetic acid	non			
acetoacetic acid	non			
methylamine	non			
1,2-dihydroxybenzene	non			
flavin adenine dinucleotide	non			
pyrroloquinoline quinone	non			
maleic acid	non			
4-hydroxyphenylpyruvic acid	non			
homogentisic acid	non			
atp	non			
dopamine	non			
magnesium cation	non			
cyclic adenosine monophosphate	non			
pyrophosphoric acid	non			
atp	non			
norepinephrine	non			
oxybuprocaine	non			
dopamine	non			
potassium cation	non			
calcium	non			
atp	non			
morphine	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
uridine-5'-diphosphate	non			
atp	non			
norepinephrine	non			
hydrocodone	non			
dopamine	non			
potassium cation	non			
calcium	non			
atp	non			
norepinephrine	non			
dopamine	non			
oxymorphone	non			
potassium cation	non			
calcium	non			
atp	non			
norepinephrine	non			
remifentanil	non			
dopamine	non			
potassium cation	non			
calcium	non			
nadh	non			
atp	non			
norepinephrine	non			
fluoxetine	non			
dopamine	non			
potassium cation	non			
calcium	non			
mesoheme	non			
formaldehyde	non			
seproxetine	non			
nadh	non			
atp	non			
nicotine	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
mesoheme	non			
flavin adenine dinucleotide	non			
uridine-5'-diphosphate	non			
formaldehyde	non			
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
aspartic acid	non			
tyrosine	non			
glutamic acid	non			
nadh	non			
sapropterin	non			
norepinephrine	non			
epinephrine	non			
dopamine	non			
levodopa	non			
calcium	non			
magnesium cation	non			
iron	non			
zinc	non			
2-(3,4-dihydroxyphenyl)acetic acid	non			
acetoacetic acid	non			
methylamine	non			
1,2-dihydroxybenzene	non			
flavin adenine dinucleotide	non			
pyrroloquinoline quinone	non			
maleic acid	non			
4-hydroxyphenylpyruvic acid	non			
homogentisic acid	non			
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
tyrosine	non			
norepinephrine	non			
epinephrine	non			
dopamine	non			
levodopa	non			
iron	non			
pyrroloquinoline quinone	non			
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
aspartic acid	non			
tyrosine	non			
glutamic acid	non			
nadh	non			
sapropterin	non			
norepinephrine	non			
epinephrine	non			
dopamine	non			
levodopa	non			
calcium	non			
magnesium cation	non			
iron	non			
zinc	non			
2-(3,4-dihydroxyphenyl)acetic acid	non			
acetoacetic acid	non			
methylamine	non			
1,2-dihydroxybenzene	non			
flavin adenine dinucleotide	non			
pyrroloquinoline quinone	non			
maleic acid	non			
4-hydroxyphenylpyruvic acid	non			
homogentisic acid	non			
pyridoxal phosphate	non			
ademetionine	non			
ascorbic acid	non			
aspartic acid	non			
tyrosine	non			
glutamic acid	non			
nadh	non			
sapropterin	non			
norepinephrine	non			
epinephrine	non			
dopamine	non			
levodopa	non			
calcium	non			
magnesium cation	non			
iron	non			
zinc	non			
2-(3,4-dihydroxyphenyl)acetic acid	non			
acetoacetic acid	non			
methylamine	non			
1,2-dihydroxybenzene	non			
flavin adenine dinucleotide	non			
pyrroloquinoline quinone	non			
maleic acid	non			
4-hydroxyphenylpyruvic acid	non			
homogentisic acid	non			
atp	non			
norepinephrine	non			
dextropropoxyphene	non			
dopamine	non			
potassium cation	non			
calcium	non			
atp	non			
norepinephrine	non			
anileridine	non			
dopamine	non			
potassium cation	non			
calcium	non			
atp	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
3-methylthiofentanyl	non			
dopamine	approved	DRD2,DRD1,DRD5,DRD3,DRD4,SLC6A3,DBH	C01CA04	51-61-6
rivastigmine	approved	ACHE,BCHE	N06DA03	123441-03-2
exemestane	approved	CYP19A1	L02BG06	107868-30-4
glutamic acid	non			
glutathione	non			
dinoprostone	non			
oxaprozin	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
oxaprozin	approved	PTGS1,PTGS2	M01AE12	21256-18-8
methyl aminolevulinate	approved		L01XD03	33320-16-0
tetrahydrofolic acid	non			
ademetionine	non			
aspartic acid	non			
l-glutamine	non			
adenosine phosphate	non			
glutamic acid	non			
glycine	non			
nadh	non			
atp	non			
adenine	non			
adenosine	non			
azathioprine	non			
mercaptopurine	non			
potassium cation	non			
calcium	non			
magnesium cation	non			
zinc	non			
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non			
aica ribonucleotide	non			
guanosine-5'-monophosphate	non			
xanthine	non			
guanine	non			
cyclic adenosine monophosphate	non			
mesoheme	non			
guanosine	non			
ribose-1-phosphate	non			
flavin adenine dinucleotide	non			
hypoxanthine	non			
pyrophosphoric acid	non			
maleic acid	non			
inosine	non			
2'-deoxyguanosine-5'-monophosphate	non			
azathioprine	non			
mercaptopurine	non			
azathioprine	approved		L04AX01	446-86-6
neomycin	approved		A07AA51	1404-04-2
auranofin	approved	PRDX5,IKBKB	M01CB03	34031-32-8
gabapentin	approved	CACNA2D1	N03AX12	60142-96-3
nadh	non			
atp	non			
sapropterin	non			
doxorubicin	non			
mesoheme	non			
flavin adenine dinucleotide	non			
flavin mononucleotide	non			
doxorubicin	approved	TOP2A	L01DB01	23214-92-8
frovatriptan	approved	HTR1D,HTR1B	N02CC07	158747-02-5
cysteine	non			
hydrochlorothiazide	non			
potassium cation	non			
urea	non			
hydrochlorothiazide	approved	SLC12A3,KCNMA1	C09BX03	58-93-5
cyclacillin	approved		J01CR50	3485-14-1
salbutamol	approved	ADRB2	R03AK04	18559-94-9
atp	non			
norepinephrine	non			
dopamine	non			
levobupivacaine	non			
potassium cation	non			
calcium	non			
levobupivacaine	approved	SCN10A	N01BB10	27262-47-1
cromoglicic acid	approved		R03AK05	16110-51-3
ganciclovir	approved		J05AB06	82410-32-0
hydroxyurea	approved	RRM1	L01XX05	127-07-1
letrozole	approved	CYP19A1	L02BG04	112809-51-5
tioconazole	approved		G01AF20	65899-73-2
busulfan	approved		L01AB01	55-98-1
glutamic acid	non			
glutathione	non			
dinoprostone	non			
ketoprofen	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
ketoprofen	approved	PTGS2	M01AE03	22071-15-4
