se_name	mesh_id	mesh_term	map_type	se_name_check	drug_count	check
Hyperchloraemia				Hyperchloraemia	9	TRUE
Hypertrophy	D006984	Hypertrophy	UMLS_MEDDRA	Hypertrophy	9	TRUE
Hypoaesthesia eye	D006987	Hypesthesia	REVERSE SUBSTRING MATCH	Hypoaesthesia eye	9	TRUE
Hypoglycaemic coma	D003128	Coma	REVERSE SUBSTRING MATCH	Hypoglycaemic coma	9	TRUE
Hypopituitarism	D007018	Hypopituitarism	UMLS_MEDDRA	Hypopituitarism	9	TRUE
Hypopnoea				Hypopnoea	9	TRUE
Infection parasitic	D010272	Parasitic Diseases	LOOKUP_REARRANGED	Infection parasitic	9	TRUE
Infertility male	D007248	Infertility, Male	MM_CUI	Infertility male	9	TRUE
Injection site dermatitis	D003872	Dermatitis	REVERSE SUBSTRING MATCH	Injection site dermatitis	9	TRUE
Injection site necrosis	D009336	Necrosis	REVERSE SUBSTRING MATCH	Injection site necrosis	9	TRUE
Injection site phlebitis	D010689	Phlebitis	REVERSE SUBSTRING MATCH	Injection site phlebitis	9	TRUE
Joint dislocation	D004204	Joint Dislocations	MANUAL_CURATION	Joint dislocation	9	TRUE
Ketoacidosis	D007662	Ketosis	LOOKUP_EXACT_UMLS_TERM	Ketoacidosis	9	TRUE
Large intestine polyp	D011127	Polyps	REVERSE SUBSTRING MATCH	Large intestine polyp	9	TRUE
Lung fibrosis interstitial	D005355	Fibrosis	REVERSE SUBSTRING MATCH	Lung fibrosis interstitial	9	TRUE
Melanosis	D008548	Melanosis	UMLS_MEDDRA	Melanosis	9	TRUE
Menometrorrhagia				Menometrorrhagia	9	TRUE
Mitral valve incompetence	D008944	Mitral Valve Insufficiency	MM_CUI	Mitral valve incompetence	9	TRUE
Motor restlessness				Motor restlessness	9	TRUE
Mouth irritation				Mouth irritation	9	TRUE
Myasthenic syndrome	D009157	Myasthenia Gravis	MANUAL_CURATION	Myasthenic syndrome	9	TRUE
Nasal ulcer	D014456	Ulcer	REVERSE SUBSTRING MATCH	Nasal ulcer	9	TRUE
Necrotising colitis	D003092	Colitis	REVERSE SUBSTRING MATCH	Necrotising colitis	9	TRUE
Nodal rhythm				Nodal rhythm	9	TRUE
Normochromic normocytic anaemia	D000740	Anemia	REVERSE SUBSTRING MATCH	Normochromic normocytic anaemia	9	TRUE
Numbness of limbs	D006987	Hypesthesia	REVERSE SUBSTRING MATCH	Numbness of limbs	9	TRUE
Obsessive-compulsive disorder	D009771	Obsessive-Compulsive Disorder	UMLS_MEDDRA	Obsessive-compulsive disorder	9	TRUE
Oesophageal achalasia	D004931	Esophageal Achalasia	UMLS_MEDDRA	Oesophageal achalasia	9	TRUE
Optic ischaemic neuropathy	D018917	Optic Neuropathy, Ischemic	UMLS_MEDDRA	Optic ischaemic neuropathy	9	TRUE
Overdose	D062787	Drug Overdose	MM_CUI	Overdose	9	TRUE
Pancreatitis haemorrhagic	D000081032	Pancreatitis, Acute Hemorrhagic	CUI_MATCH	Pancreatitis haemorrhagic	9	TRUE
Parathyroid disorder	D010279	Parathyroid Diseases	MM_CUI	Parathyroid disorder	9	TRUE
Pericardial haemorrhage	D010490	Pericardial Effusion	LOOKUP_EXACT_MEDDRA_TERM	Pericardial haemorrhage	9	TRUE
Phlebitis superficial	D010689	Phlebitis	REVERSE SUBSTRING MATCH	Phlebitis superficial	9	TRUE
Pitting edema	D004487	Edema	REVERSE SUBSTRING MATCH	Pitting edema	9	TRUE
Post procedural complication				Post procedural complication	9	TRUE
Prothrombin time shortened				Prothrombin time shortened	9	TRUE
Pseudoparkinsonism				Pseudoparkinsonism	9	TRUE
Pulse irregular				Pulse irregular	9	TRUE
Pustular psoriasis	D011565	Psoriasis	REVERSE SUBSTRING MATCH	Pustular psoriasis	9	TRUE
Renal tubular acidosis	D000141	Acidosis, Renal Tubular	UMLS_MEDDRA	Renal tubular acidosis	9	TRUE
Respiratory alkalosis	D000472	Alkalosis, Respiratory	CUI_MATCH	Respiratory alkalosis	9	TRUE
Respiratory paralysis	D012133	Respiratory Paralysis	EFO_MAP	Respiratory paralysis	9	TRUE
Retinal vascular disorder				Retinal vascular disorder	9	TRUE
Retinal vascular thrombosis	D013927	Thrombosis	REVERSE SUBSTRING MATCH	Retinal vascular thrombosis	9	TRUE
Right ventricular failure				Right ventricular failure	9	TRUE
Serum amylase increased	D000681	Amylases	REVERSE SUBSTRING MATCH	Serum amylase increased	9	TRUE
Sinus pain	D010146	Pain	REVERSE SUBSTRING MATCH	Sinus pain	9	TRUE
Skin discomfort	D002637	Chest Pain	REVERSE SUBSTRING MATCH	Skin discomfort	9	TRUE
Skin fissures				Skin fissures	9	TRUE
Smear cervix abnormal				Smear cervix abnormal	9	TRUE
Sodium high	D012964	Sodium	REVERSE SUBSTRING MATCH	Sodium high	9	TRUE
Steatorrhoea	D045602	Steatorrhea	TERM_MATCH	Steatorrhoea	9	TRUE
Terminal insomnia	D007319	Sleep Initiation and Maintenance Disorders	LOOKUP_REARRANGED	Terminal insomnia	9	TRUE
Thermal burn	D002056	Burns	REVERSE SUBSTRING MATCH	Thermal burn	9	TRUE
Thyroid function test abnormal	D013959	Thyroid Diseases	MANUAL_CURATION	Thyroid function test abnormal	9	TRUE
Tumour pain	D010146	Pain	REVERSE SUBSTRING MATCH	Tumour pain	9	TRUE
Urolithiasis	D052878	Urolithiasis	UMLS_MEDDRA	Urolithiasis	9	TRUE
Uterine cervical erosion	D002579	Uterine Cervical Erosion	CUI_MATCH	Uterine cervical erosion	9	TRUE
Uterine disorder	D014591	Uterine Diseases	MM_CUI	Uterine disorder	9	TRUE
Vaginal mycosis				Vaginal mycosis	9	TRUE
Vitreous haemorrhage	D014823	Vitreous Hemorrhage	MM_CUI	Vitreous haemorrhage	9	TRUE
Vulvovaginal burning sensation				Vulvovaginal burning sensation	9	TRUE
Warts	D014860	Warts	MM_CUI	Warts	9	TRUE
White blood cells urine positive				White blood cells urine positive	9	TRUE
Worsening of diabetes	D003920	Diabetes Mellitus	MANUAL_CURATION	Worsening of diabetes	9	TRUE
Wound dehiscence	D014947	Wounds and Injuries	REVERSE SUBSTRING MATCH	Wound dehiscence	9	TRUE
Accidental exposure to product				Accidental exposure to product	8	TRUE
Accidental ingestion				Accidental ingestion	8	TRUE
Acute pulmonary oedema	D011654	Pulmonary Edema	LOOKUP_WITH_REPLACEMENT	Acute pulmonary oedema	8	TRUE
Acute sinusitis	D012852	Sinusitis	LOOKUP_TRIMMED_UMLS_TERM	Acute sinusitis	8	TRUE
Alkaline phosphatase serum increased	D000469	Alkaline Phosphatase	REVERSE SUBSTRING MATCH	Alkaline phosphatase serum increased	8	TRUE
Allergic skin reaction				Allergic skin reaction	8	TRUE
Androgenetic alopecia	D000505	Alopecia	LOOKUP_EXACT_UMLS_TERM	Androgenetic alopecia	8	TRUE
Antibiotic associated colitis	D004761	Enterocolitis, Pseudomembranous	LOOKUP_EXACT_UMLS_TERM	Antibiotic associated colitis	8	TRUE
Aphonia	D001044	Aphonia	MM_CUI	Aphonia	8	TRUE
Arterial spasm	D013035	Spasm	REVERSE SUBSTRING MATCH	Arterial spasm	8	TRUE
Atrophic vulvovaginitis	D059268	Atrophic Vaginitis	UMLS	Atrophic vulvovaginitis	8	TRUE
Autoimmune haemolytic anaemia	D000744	Anemia, Hemolytic, Autoimmune	CUI_MATCH	Autoimmune haemolytic anaemia	8	TRUE
Balanoposthitis				Balanoposthitis	8	TRUE
Behavior disorder				Behavior disorder	8	TRUE
Benign breast neoplasm	D009369	Neoplasms	REVERSE SUBSTRING MATCH	Benign breast neoplasm	8	TRUE
Binge eating	D056912	Binge-Eating Disorder	CUI_MATCH	Binge eating	8	TRUE
Bloated feeling				Bloated feeling	8	TRUE
Blood creatinine abnormal	D003404	Creatinine	REVERSE SUBSTRING MATCH	Blood creatinine abnormal	8	TRUE
Bone density decreased	D015519	Bone Density	LOOKUP_TRIMMED_UMLS_TERM	Bone density decreased	8	TRUE
Capillary leak syndrome	D019559	Capillary Leak Syndrome	EFO_MAP	Capillary leak syndrome	8	TRUE
Cervical dysplasia	D002578	Uterine Cervical Dysplasia	UMLS_MEDDRA	Cervical dysplasia	8	TRUE
Choreoathetoid movements	D002819	Chorea	MANUAL_CURATION	Choreoathetoid movements	8	TRUE
Colour blindness	D003117	Color Vision Defects	LOOKUP_EXACT_MEDDRA_TERM	Colour blindness	8	TRUE
Congestive cardiomyopathy	D002311	Cardiomyopathy, Dilated	UMLS_MEDDRA	Congestive cardiomyopathy	8	TRUE
COPD exacerbation				COPD exacerbation	8	TRUE
Corneal epithelium defect			FUZZY_MATCH	Corneal epithelium defect	8	TRUE
Corneal infiltrates				Corneal infiltrates	8	TRUE
Corneal perforation	D057112	Corneal Perforation	CUI_MATCH	Corneal perforation	8	TRUE
Costochondritis	D013991	Tietze's Syndrome	CUI_MATCH	Costochondritis	8	TRUE
Cryptococcosis	D003453	Cryptococcosis	UMLS_MEDDRA	Cryptococcosis	8	TRUE
Cutaneous lupus erythematosus	D008179	Lupus Erythematosus, Discoid	MM_CUI	Cutaneous lupus erythematosus	8	TRUE
Cystoid macular oedema	D008269	Macular Edema	LOOKUP_WITH_REPLACEMENT	Cystoid macular oedema	8	TRUE
Decompensation cardiac				Decompensation cardiac	8	TRUE
Dermatitis infected	D011711	Pyoderma	TERM_MATCH	Dermatitis infected	8	TRUE
Diabetes mellitus exacerbated	D003920	Diabetes Mellitus	REVERSE SUBSTRING MATCH	Diabetes mellitus exacerbated	8	TRUE
Disulfiram like reaction				Disulfiram like reaction	8	TRUE
Drug seeking behavior	D058999	Drug-Seeking Behavior	CUI_MATCH	Drug seeking behavior	8	TRUE
Electrocardiogram ST segment elevation				Electrocardiogram ST segment elevation	8	TRUE
Electrocardiogram U wave present				Electrocardiogram U wave present	8	TRUE
Electrocardiogram U-wave abnormality				Electrocardiogram U-wave abnormality	8	TRUE
Electrolyte abnormality				Electrolyte abnormality	8	TRUE
Elevated liver enzyme levels				Elevated liver enzyme levels	8	TRUE
Endometrial disorder				Endometrial disorder	8	TRUE
Enzyme abnormality				Enzyme abnormality	8	TRUE
Erection increased				Erection increased	8	TRUE
Essential hypertension	D000075222	Essential Hypertension	UMLS_MEDDRA	Essential hypertension	8	TRUE
Eye movement disorder	D015835	Ocular Motility Disorders	UMLS_MEDDRA	Eye movement disorder	8	TRUE
Eyelid irritation				Eyelid irritation	8	TRUE
Floppy iris syndrome				Floppy iris syndrome	8	TRUE
Gastric ulcer haemorrhage	D014456	Ulcer	REVERSE SUBSTRING MATCH	Gastric ulcer haemorrhage	8	TRUE
Gastrointestinal obstruction				Gastrointestinal obstruction	8	TRUE
Gastrointestinal ulcer haemorrhage	D014456	Ulcer	REVERSE SUBSTRING MATCH	Gastrointestinal ulcer haemorrhage	8	TRUE
Heart sounds abnormal				Heart sounds abnormal	8	TRUE
Hemorrhagic colitis	D003092	Colitis	REVERSE SUBSTRING MATCH	Hemorrhagic colitis	8	TRUE
Hepatic cancer metastatic	D006528	Carcinoma, Hepatocellular	REVERSE SUBSTRING MATCH	Hepatic cancer metastatic	8	TRUE
Hepatic pain	D010146	Pain	REVERSE SUBSTRING MATCH	Hepatic pain	8	TRUE
Hepatitis granulomatous	D006505	Hepatitis	REVERSE SUBSTRING MATCH	Hepatitis granulomatous	8	TRUE
Hodgkin's disease	D006689	Hodgkin Disease	UMLS_MEDDRA	Hodgkin's disease	8	TRUE
Hodgkin's disease lymphocyte depletion type stage unspecified	D006689	Hodgkin Disease	UMLS	Hodgkin's disease lymphocyte depletion type stage unspecified	8	TRUE
Hodgkin's disease lymphocyte predominance type stage unspecified	D006689	Hodgkin Disease	UMLS	Hodgkin's disease lymphocyte predominance type stage unspecified	8	TRUE
Hyperphagia	D006963	Hyperphagia	UMLS_MEDDRA	Hyperphagia	8	TRUE
Hypovitaminosis	D001361	Avitaminosis	LOOKUP_REARRANGED	Hypovitaminosis	8	TRUE
Immune-mediated necrotising myopathy	D009135	Muscular Diseases	REVERSE SUBSTRING MATCH	Immune-mediated necrotising myopathy	8	TRUE
Infusion related reaction				Infusion related reaction	8	TRUE
Injection site abscess	D000038	Abscess	REVERSE SUBSTRING MATCH	Injection site abscess	8	TRUE
Injection site burning				Injection site burning	8	TRUE
Injection site extravasation				Injection site extravasation	8	TRUE
Injection site mass				Injection site mass	8	TRUE
Intestinal necrosis	D009336	Necrosis	REVERSE SUBSTRING MATCH	Intestinal necrosis	8	TRUE
Ketonuria	D007662	Ketosis	LOOKUP_EXACT_UMLS_TERM	Ketonuria	8	TRUE
Leukoencephalopathy	D056784	Leukoencephalopathies	CUI_MATCH	Leukoencephalopathy	8	TRUE
Major bleed				Major bleed	8	TRUE
Malaise and fatigue	D003866	Depressive Disorder	REVERSE SUBSTRING MATCH	Malaise and fatigue	8	TRUE
Melanocytic naevus	D009508	Nevus, Pigmented	CUI_MATCH	Melanocytic naevus	8	TRUE
Metastases to liver				Metastases to liver	8	TRUE
Metastatic disease				Metastatic disease	8	TRUE
Nail pigmentation				Nail pigmentation	8	TRUE
Nasal oedema	D004487	Edema	REVERSE SUBSTRING MATCH	Nasal oedema	8	TRUE
Nasal polyps	D009298	Nasal Polyps	CUI_MATCH	Nasal polyps	8	TRUE
Nephrocalcinosis	D009397	Nephrocalcinosis	TERM_MATCH	Nephrocalcinosis	8	TRUE
Nerve paralysis	D010243	Paralysis	REVERSE SUBSTRING MATCH	Nerve paralysis	8	TRUE
Neutropenic infection	D003141	Communicable Diseases	REVERSE SUBSTRING MATCH	Neutropenic infection	8	TRUE
Normocytic anemia	D000740	Anemia	REVERSE SUBSTRING MATCH	Normocytic anemia	8	TRUE
Obliterative bronchiolitis	D001989	Bronchiolitis Obliterans	UMLS_MEDDRA	Obliterative bronchiolitis	8	TRUE
Obstipation				Obstipation	8	TRUE
Onychoclasis				Onychoclasis	8	TRUE
Oropharyngeal candidiasis	D002177	Candidiasis	REVERSE SUBSTRING MATCH	Oropharyngeal candidiasis	8	TRUE
Orthopnoea				Orthopnoea	8	TRUE
Ovarian hyperstimulation syndrome	D016471	Ovarian Hyperstimulation Syndrome	UMLS_MEDDRA	Ovarian hyperstimulation syndrome	8	TRUE
Palmar-plantar erythrodysaesthesia syndrome	D060831	Hand-Foot Syndrome	UMLS_MEDDRA	Palmar-plantar erythrodysaesthesia syndrome	8	TRUE
Pituitary apoplexy	D010899	Pituitary Apoplexy	CUI_MATCH	Pituitary apoplexy	8	TRUE
Pituitary haemorrhage	D006470	Hemorrhage	REVERSE SUBSTRING MATCH	Pituitary haemorrhage	8	TRUE
Pneumonia streptococcal	D011018	Pneumonia, Pneumococcal	MM_CUI	Pneumonia streptococcal	8	TRUE
Polyarteritis nodosa	D010488	Polyarteritis Nodosa	MM_CUI	Polyarteritis nodosa	8	TRUE
Polyarthralgia	D018771	Arthralgia	LOOKUP_EXACT_UMLS_TERM	Polyarthralgia	8	TRUE
Porphyria hepatic	D017094	Porphyrias, Hepatic	CUI_MATCH	Porphyria hepatic	8	TRUE
Post procedural infection	D003141	Communicable Diseases	REVERSE SUBSTRING MATCH	Post procedural infection	8	TRUE
Postoperative infection	D003141	Communicable Diseases	REVERSE SUBSTRING MATCH	Postoperative infection	8	TRUE
Pregnancy test false positive	D011247	Pregnancy	REVERSE SUBSTRING MATCH	Pregnancy test false positive	8	TRUE
Premature ejaculation	D061686	Premature Ejaculation	CUI_MATCH	Premature ejaculation	8	TRUE
Premenstrual tension	D011293	Premenstrual Syndrome	LOOKUP_EXACT_UMLS_TERM	Premenstrual tension	8	TRUE
Pyoderma	D011711	Pyoderma	TERM_MATCH	Pyoderma	8	TRUE
Reaction febrile				Reaction febrile	8	TRUE
Red blood cell abnormality	D004906	Erythrocyte Count	MANUAL_CURATION	Red blood cell abnormality	8	TRUE
Reflex tachycardia	D013610	Tachycardia	REVERSE SUBSTRING MATCH	Reflex tachycardia	8	TRUE
Respiratory sounds decreased	D012135	Respiratory Sounds	LOOKUP_TRIMMED_UMLS_TERM	Respiratory sounds decreased	8	TRUE
Reticulocytosis	D045262	Reticulocytosis	MM_CUI	Reticulocytosis	8	TRUE
Retinal artery occlusion	D015356	Retinal Artery Occlusion	CUI_MATCH	Retinal artery occlusion	8	TRUE
Retinal degeneration	D012162	Retinal Degeneration	UMLS_MEDDRA	Retinal degeneration	8	TRUE
Retrograde ejaculation	D004542	Ejaculation	REVERSE SUBSTRING MATCH	Retrograde ejaculation	8	TRUE
Salivary gland swelling	D004487	Edema	REVERSE SUBSTRING MATCH	Salivary gland swelling	8	TRUE
Seborrhoeic keratosis	D017492	Keratosis, Seborrheic	CUI_MATCH	Seborrhoeic keratosis	8	TRUE
Serositis	D012700	Serositis	TERM_MATCH	Serositis	8	TRUE
Skin candida	D002179	Candidiasis, Cutaneous	CUI_MATCH	Skin candida	8	TRUE
Skin depigmentation				Skin depigmentation	8	TRUE
Skin haemorrhage	D006470	Hemorrhage	REVERSE SUBSTRING MATCH	Skin haemorrhage	8	TRUE
Skin tightness				Skin tightness	8	TRUE
Small intestinal obstruction	D007415	Intestinal Obstruction	REVERSE SUBSTRING MATCH	Small intestinal obstruction	8	TRUE
Spinal cord compression	D013117	Spinal Cord Compression	CUI_MATCH	Spinal cord compression	8	TRUE
Steroid withdrawal syndrome	D013375	Substance Withdrawal Syndrome	REVERSE SUBSTRING MATCH	Steroid withdrawal syndrome	8	TRUE
Sudden cardiac death	D016757	Death, Sudden, Cardiac	CUI_MATCH	Sudden cardiac death	8	TRUE
Superficial phlebothrombosis				Superficial phlebothrombosis	8	TRUE
Tinea pedis	D014008	Tinea Pedis	MM_CUI	Tinea pedis	8	TRUE
Tympanic membrane perforation	D018058	Tympanic Membrane Perforation	CUI_MATCH	Tympanic membrane perforation	8	TRUE
Unspecified disorder of intestine	D007410	Intestinal Diseases	UMLS_MEDDRA	Unspecified disorder of intestine	8	TRUE
Urine flow decreased				Urine flow decreased	8	TRUE
Uterine fibroids enlarged				Uterine fibroids enlarged	8	TRUE
Vaginal irritation				Vaginal irritation	8	TRUE
Vaginitis atrophic	D059268	Atrophic Vaginitis	UMLS_MEDDRA	Vaginitis atrophic	8	TRUE
Vascular anomaly	D054079	Vascular Malformations	CUI_MATCH	Vascular anomaly	8	TRUE
Vein disorder				Vein disorder	8	TRUE
Ventricular dysfunction	D018754	Ventricular Dysfunction	CUI_MATCH	Ventricular dysfunction	8	TRUE
Xeroderma	D007057	Ichthyosis	LOOKUP_EXACT_UMLS_TERM	Xeroderma	8	TRUE
Abnormal chest sounds NOS				Abnormal chest sounds NOS	7	TRUE
Abnormal withdrawal bleeding				Abnormal withdrawal bleeding	7	TRUE
Acute retention of urine	D016055	Urinary Retention	DATASETS_XREF	Acute retention of urine	7	TRUE
Adrenocortical insufficiency acute				Adrenocortical insufficiency acute	7	TRUE
Adverse reaction				Adverse reaction	7	TRUE
Alertness decreased				Alertness decreased	7	TRUE
Allergic conditions				Allergic conditions	7	TRUE
Anhidrosis	D007007	Hypohidrosis	LOOKUP_EXACT_UMLS_TERM	Anhidrosis	7	TRUE
Antisocial behaviour				Antisocial behaviour	7	TRUE
Antisocial personality disorder	D000987	Antisocial Personality Disorder	MM_CUI	Antisocial personality disorder	7	TRUE
Application site exfoliation				Application site exfoliation	7	TRUE
Application site oedema	D004487	Edema	LOOKUP_WITH_REPLACEMENT	Application site oedema	7	TRUE
Application site paraesthesia	D010292	Paresthesia	REVERSE SUBSTRING MATCH	Application site paraesthesia	7	TRUE
Asocial behaviour				Asocial behaviour	7	TRUE
Atrial tachycardia	D013610	Tachycardia	REVERSE SUBSTRING MATCH	Atrial tachycardia	7	TRUE
Attention deficit/hyperactivity disorder	D001289	Attention Deficit Disorder with Hyperactivity	CUI_MATCH	Attention deficit/hyperactivity disorder	7	TRUE
Avitaminosis	D001361	Avitaminosis	MM_CUI	Avitaminosis	7	TRUE
Bleeding tendency				Bleeding tendency	7	TRUE
Blepharoconjunctivitis				Blepharoconjunctivitis	7	TRUE
Blood insulin increased				Blood insulin increased	7	TRUE
Blood magnesium decreased				Blood magnesium decreased	7	TRUE
Blood testosterone increased				Blood testosterone increased	7	TRUE
Brain neoplasm	D001932	Brain Neoplasms	UMLS_MEDDRA	Brain neoplasm	7	TRUE
C-reactive protein increased	D002097	C-Reactive Protein	LOOKUP_TRIMMED_UMLS_TERM	C-reactive protein increased	7	TRUE
Cancer pain	D000072716	Cancer Pain	UMLS_MEDDRA	Cancer pain	7	TRUE
Cauda equina syndrome	D000077684	Cauda Equina Syndrome	MM_CUI	Cauda equina syndrome	7	TRUE
Cervicitis	D002575	Uterine Cervicitis	MM_CUI	Cervicitis	7	TRUE
Chapped lips				Chapped lips	7	TRUE
Chest pressure	D011312	Pressure	REVERSE SUBSTRING MATCH	Chest pressure	7	TRUE
Cholestasis intrahepatic	D002780	Cholestasis, Intrahepatic	CUI_MATCH	Cholestasis intrahepatic	7	TRUE
Cholinergic syndrome				Cholinergic syndrome	7	TRUE
Chronic myeloid leukaemia	D015466	Leukemia, Myeloid, Chronic-Phase	CUI_MATCH	Chronic myeloid leukaemia	7	TRUE
Colonic polyp	D003111	Colonic Polyps	MM_CUI	Colonic polyp	7	TRUE
Compulsions	D003192	Compulsive Behavior	CUI_MATCH	Compulsions	7	TRUE
Congenital genitourinary abnormality	D014564	Urogenital Abnormalities	MM_CUI	Congenital genitourinary abnormality	7	TRUE
Conjunctival disorder	D003229	Conjunctival Diseases	UMLS_MEDDRA	Conjunctival disorder	7	TRUE
Contact lens intolerance				Contact lens intolerance	7	TRUE
Coombs test positive				Coombs test positive	7	TRUE
Coronary artery insufficiency				Coronary artery insufficiency	7	TRUE
Dermatitis irritant contact	D017453	Dermatitis, Irritant	MM_CUI	Dermatitis irritant contact	7	TRUE
Device capturing issue	D012848	Sinoatrial Block	MM_CUI	Device capturing issue	7	TRUE
Diabetic coma	D003926	Diabetic Coma	CUI_MATCH	Diabetic coma	7	TRUE
Diabetic hyperglycaemic coma	D003926	Diabetic Coma	CUI_MATCH	Diabetic hyperglycaemic coma	7	TRUE
Diabetic retinopathy	D003930	Diabetic Retinopathy	UMLS_MEDDRA	Diabetic retinopathy	7	TRUE
Dysphemia				Dysphemia	7	TRUE
Embolus	D004617	Embolism	LOOKUP_EXACT_UMLS_TERM	Embolus	7	TRUE
Energy increased				Energy increased	7	TRUE
Facial paresis	D005158	Facial Paralysis	LOOKUP_EXACT_UMLS_TERM	Facial paresis	7	TRUE
Fall				Fall	7	TRUE
Folate deficiency	D005494	Folic Acid Deficiency	CUI_MATCH	Folate deficiency	7	TRUE
Follicular conjunctivitis	D003231	Conjunctivitis	REVERSE SUBSTRING MATCH	Follicular conjunctivitis	7	TRUE
Food allergy	D005512	Food Hypersensitivity	UMLS_MEDDRA	Food allergy	7	TRUE
Food poisoning	D005517	Foodborne Diseases	LOOKUP_EXACT_UMLS_TERM	Food poisoning	7	TRUE
Foot pain	D010146	Pain	REVERSE SUBSTRING MATCH	Foot pain	7	TRUE
Gastric atony	D018589	Gastroparesis	EFO_MAP	Gastric atony	7	TRUE
Generalised erythema	D004890	Erythema	REVERSE SUBSTRING MATCH	Generalised erythema	7	TRUE
Gingival disorder	D005882	Gingival Diseases	MM_CUI	Gingival disorder	7	TRUE
Graft versus host disease	D006086	Graft vs Host Disease	UMLS_MEDDRA	Graft versus host disease	7	TRUE
Hair discoloration				Hair discoloration	7	TRUE
Heart malformation	D006330	Heart Defects, Congenital	CUI_MATCH	Heart malformation	7	TRUE
Heat intolerance				Heat intolerance	7	TRUE
Hepatitis chronic active	D006521	Hepatitis, Chronic	LOOKUP_EXACT_MEDDRA_TERM	Hepatitis chronic active	7	TRUE
Hepatorenal syndrome	D006530	Hepatorenal Syndrome	UMLS_MEDDRA	Hepatorenal syndrome	7	TRUE
Hip fracture	D006620	Hip Fractures	UMLS_MEDDRA	Hip fracture	7	TRUE
Hormone level abnormal				Hormone level abnormal	7	TRUE
Hypertonic bladder	D053201	Urinary Bladder, Overactive	UMLS_MEDDRA	Hypertonic bladder	7	TRUE
Hypomenorrhoea	D008599	Menstruation Disturbances	LOOKUP_EXACT_MEDDRA_TERM	Hypomenorrhoea	7	TRUE
Immobile				Immobile	7	TRUE
Increased prolactin level				Increased prolactin level	7	TRUE
Injection site coldness	D007035	Hypothermia	REVERSE SUBSTRING MATCH	Injection site coldness	7	TRUE
Injection site discomfort	D002637	Chest Pain	REVERSE SUBSTRING MATCH	Injection site discomfort	7	TRUE
Injection site hypersensitivity	D006967	Hypersensitivity	REVERSE SUBSTRING MATCH	Injection site hypersensitivity	7	TRUE
Injection site urticaria	D014581	Urticaria	REVERSE SUBSTRING MATCH	Injection site urticaria	7	TRUE
Intentional injury	D014947	Wounds and Injuries	REVERSE SUBSTRING MATCH	Intentional injury	7	TRUE
Intentional self-injury	D014947	Wounds and Injuries	REVERSE SUBSTRING MATCH	Intentional self-injury	7	TRUE
Irreversible renal failure	D051437	Renal Insufficiency	REVERSE SUBSTRING MATCH	Irreversible renal failure	7	TRUE
Kaposi's sarcoma	D012514	Sarcoma, Kaposi	CUI_MATCH	Kaposi's sarcoma	7	TRUE
Knee pain	D010146	Pain	REVERSE SUBSTRING MATCH	Knee pain	7	TRUE
Lack of drug effect				Lack of drug effect	7	TRUE
Lip pain	D010146	Pain	REVERSE SUBSTRING MATCH	Lip pain	7	TRUE
Liver fatty deposition	D005234	Fatty Liver	REVERSE SUBSTRING MATCH	Liver fatty deposition	7	TRUE
Liver tenderness	D063806	Myalgia	REVERSE SUBSTRING MATCH	Liver tenderness	7	TRUE
Lobar pneumonia	D011014	Pneumonia	LOOKUP_EXACT_UMLS_TERM	Lobar pneumonia	7	TRUE
Logorrhoea				Logorrhoea	7	TRUE
Lymphadenopathy cervical	D000072281	Lymphadenopathy	REVERSE SUBSTRING MATCH	Lymphadenopathy cervical	7	TRUE
Lymphangitis	D008205	Lymphangitis	TERM_MATCH	Lymphangitis	7	TRUE
Maculopathy	D008268	Macular Degeneration	LOOKUP_EXACT_UMLS_TERM	Maculopathy	7	TRUE
Madarosis				Madarosis	7	TRUE
Malignant hypertension	D006974	Hypertension, Malignant	CUI_MATCH	Malignant hypertension	7	TRUE
Megacolon toxic	D008532	Megacolon, Toxic	CUI_MATCH	Megacolon toxic	7	TRUE
Mucosal ulceration				Mucosal ulceration	7	TRUE
Multiple sclerosis	D009103	Multiple Sclerosis	UMLS_MEDDRA	Multiple sclerosis	7	TRUE
Myeloid leukaemia	D007951	Leukemia, Myeloid	CUI_MATCH	Myeloid leukaemia	7	TRUE
Necrotising enterocolitis neonatal	D020345	Enterocolitis, Necrotizing	CUI_MATCH	Necrotising enterocolitis neonatal	7	TRUE
Necrotizing enterocolitis	D020345	Enterocolitis, Necrotizing	CUI_MATCH	Necrotizing enterocolitis	7	TRUE
Nephrogenic systemic fibrosis	D054989	Nephrogenic Fibrosing Dermopathy	EFO_MAP	Nephrogenic systemic fibrosis	7	TRUE
Neurogenic bladder	D001750	Urinary Bladder, Neurogenic	MM_CUI	Neurogenic bladder	7	TRUE
Occult blood positive				Occult blood positive	7	TRUE
Oesophageal disorder	D004935	Esophageal Diseases	MM_CUI	Oesophageal disorder	7	TRUE
Oesophageal pain	D010146	Pain	REVERSE SUBSTRING MATCH	Oesophageal pain	7	TRUE
Oily skin				Oily skin	7	TRUE
Osteoporotic fracture	D058866	Osteoporotic Fractures	CUI_MATCH	Osteoporotic fracture	7	TRUE
Pain worsened	D010146	Pain	REVERSE SUBSTRING MATCH	Pain worsened	7	TRUE
Pancreatitis necrotising	D019283	Pancreatitis, Acute Necrotizing	CUI_MATCH	Pancreatitis necrotising	7	TRUE
Peripheral embolism	D004617	Embolism	MANUAL_CURATION	Peripheral embolism	7	TRUE
